customer_id,customer_first_name,customer_last_name,city,state,subscription_start_date,subscription_end_date,status
STRM-100001,Judy,Lewis,Los Angeles,CA,5/21/2022,,active
STRM-100002,Emily,Clark,Oakland,CA,10/7/2022,,active
STRM-100003,Nathan,Rodriguez,Los Angeles,CA,2/17/2022,,active
STRM-100004,Andrea,Miller,Atlanta,GA,4/12/2022,,active
STRM-100005,Gloria,Butler,Indianapolis,IN,8/18/2022,,active
STRM-100006,Mary,Green,Minneapolis,MN,8/5/2022,,active
STRM-100007,Michelle,Parker,New Orleans,LA,6/22/2022,,active
STRM-100008,Maria,Harris,El Paso,TX,6/26/2022,,active
STRM-100009,Barbara,Alexander,Mesa,AZ,3/5/2022,4/11/2023,in-active
STRM-100010,Christopher,Ramos,Miami,FL,11/13/2022,12/3/2023,in-active
STRM-100011,Sara,Roberts,Tulsa,OK,2/5/2022,,active
STRM-100012,Ryan,Howard,Philadelphia,PA,4/30/2022,6/8/2023,in-active
STRM-100013,Anna,Patterson,Miami,FL,7/6/2022,,active
STRM-100014,Patrick,Turner,Virginia Beach,VA,5/17/2022,,active
STRM-100015,Juan,Jackson,Omaha,NE,11/22/2022,,active
STRM-100016,Gary,Adams,Milwaukee,WI,7/14/2022,,active
STRM-100017,Judy,Cruz,Oakland,CA,6/16/2022,8/27/2022,in-active
STRM-100018,Ryan,Rodriguez,Bakersfield,CA,6/11/2022,,active
STRM-100019,Thomas,Diaz,Kansas City,MO,6/11/2022,,active
STRM-100020,Cheryl,Jenkins,Long Beach,CA,8/23/2022,,active
STRM-100021,Emily,Murphy,Arlington,TX,10/15/2022,,active
STRM-100022,Janice,Barnes,Colorado Springs,CO,7/24/2022,,active
STRM-100023,Emily,Hayes,Philadelphia,PA,1/25/2022,7/15/2022,in-active
STRM-100024,Joe,Green,Cleveland,OH,12/15/2022,,active
STRM-100025,Thomas,Foster,Portland,OR,11/2/2022,5/11/2024,in-active
STRM-100026,Nicholas,Williams,Oakland,CA,2/28/2022,,active
STRM-100027,Frances,Morgan,Wichita,KS,11/25/2022,,active
STRM-100028,Pamela,Fisher,Austin,TX,8/21/2022,,active
STRM-100029,Angela,Rivera,Fresno,CA,2/24/2022,1/10/2023,in-active
STRM-100030,Judy,Gomez,San Jose,CA,7/11/2022,1/29/2024,in-active
STRM-100031,Jacqueline,Smith,Omaha,NE,6/15/2022,,active
STRM-100032,Donald,Castillo,Bakersfield,CA,6/7/2022,,active
STRM-100033,Kathleen,Lee,Philadelphia,PA,9/6/2022,3/19/2024,in-active
STRM-100034,Paul,Allen,Virginia Beach,VA,9/1/2022,3/4/2023,in-active
STRM-100035,Angela,Henderson,Columbus,OH,10/4/2022,9/24/2024,in-active
